"GEO_ID","NAME","P1_001N",
# "Geography","Geographic Area Name"," !!Total",
"860Z200US12075","ZCTA5 12075","3135",
"860Z200US12076","ZCTA5 12076","1247",
"860Z200US12077","ZCTA5 12077","6739",
"860Z200US12078","ZCTA5 12078","23009",
"860Z200US12082","ZCTA5 12082","28",
"860Z200US12083","ZCTA5 12083","3592",
"860Z200US12084","ZCTA5 12084","4658",
"860Z200US12085","ZCTA5 12085","554",
"860Z200US12086","ZCTA5 12086","1698",
"860Z200US12087","ZCTA5 12087","1131",
"860Z200US12090","ZCTA5 12090","6223",
"860Z200US12092","ZCTA5 12092","1241",
"860Z200US12093","ZCTA5 12093","1576",
"860Z200US12094","ZCTA5 12094","2337",
"860Z200US12095","ZCTA5 12095","12242",
"860Z200US12106","ZCTA5 12106","2137",
"860Z200US12108","ZCTA5 12108","415",
"860Z200US12110","ZCTA5 12110","19682",
"860Z200US12115","ZCTA5 12115","190",
"860Z200US12116","ZCTA5 12116","1713",
"860Z200US12117","ZCTA5 12117","2831",
"860Z200US12118","ZCTA5 12118","16618",
"860Z200US12120","ZCTA5 12120","593",
"860Z200US12121","ZCTA5 12121","1767",
"860Z200US12122","ZCTA5 12122","3763",
