source,destination,flow
Henan,Shaanxi,109843
Henan,Shandong,1578571
Henan,Shanghai,3164515
Henan,Shanxi,95170
Henan,Sichuan,2220728
Henan,Taiwan,225663
Henan,Tianjin,176992
Henan,Tibet,348723
Henan,Xinjiang,4328569
Henan,Yunnan,4235158
Henan,Zhejiang,4364654
Hong Kong,Anhui,23374
Hong Kong,Beijing,1895744
Hong Kong,Chongqing,199190
Hong Kong,Fujian,667586
Hong Kong,Gansu,10808
Hong Kong,Guangdong,116410
Hong Kong,Guangxi,93805
Hong Kong,Guizhou,66930
Hong Kong,Hainan,370522
Hong Kong,Hebei,48924
Hong Kong,Heilongjiang,67245
Hong Kong,Henan,79725
Hong Kong,Hubei,180750
Hong Kong,Hunan,41485
Hong Kong,Inner Mongolia,21588
Hong Kong,Jiangsu,638683
Hong Kong,Jiangxi,295322
Hong Kong,Jilin,60026
Hong Kong,Liaoning,182824
Hong Kong,Macau,512
Hong Kong,Ningxia,45885
Hong Kong,Qinghai,9061
Hong Kong,Shaanxi,177132
Hong Kong,Shandong,244666
Hong Kong,Shanghai,3540667
Hong Kong,Shanxi,47367
Hong Kong,Sichuan,448350
Hong Kong,Taiwan,7572087
Hong Kong,Tianjin,203463
Hong Kong,Tibet,4382
Hong Kong,Xinjiang,16507
Hong Kong,Yunnan,193446
Hong Kong,Zhejiang,1006800
Hubei,Anhui,95731
Hubei,Beijing,3953212
Hubei,Chongqing,1542198
Hubei,Fujian,2316152
Hubei,Gansu,959315
Hubei,Guangdong,6942299
Hubei,Guangxi,1926316
Hubei,Guizhou,1772036
Hubei,Hainan,3561210
Hubei,Hebei,103113
Hubei,Heilongjiang,842801
Hubei,Henan,139536
Hubei,Hong Kong,171012
Hubei,Hubei,2492120
Hubei,Hunan,91756
Hubei,Inner Mongolia,962321
Hubei,Jiangsu,810860
Hubei,Jiangxi,984743
Hubei,Jilin,616488
Hubei,Liaoning,2286704
Hubei,Macau,130935
Hubei,Ningxia,672412
