Dep State Name,Arr State Name,Total Est. Pax,Time Series
District Of Columbia,Arkansas,7719,2020-01
District Of Columbia,California,249201,2020-01
District Of Columbia,Colorado,86796,2020-01
District Of Columbia,Connecticut,15751,2020-01
District Of Columbia,Delaware,877,2020-01
District Of Columbia,District Of Columbia,4,2020-01
District Of Columbia,Florida,348651,2020-01
District Of Columbia,Georgia,96983,2020-01
District Of Columbia,Hawaii,13648,2020-01
District Of Columbia,Idaho,3835,2020-01
District Of Columbia,Illinois,94192,2020-01
District Of Columbia,Indiana,21461,2020-01
District Of Columbia,Iowa,10493,2020-01
District Of Columbia,Kansas,3233,2020-01
District Of Columbia,Kentucky,12322,2020-01
District Of Columbia,Louisiana,36299,2020-01
District Of Columbia,Maine,7448,2020-01
District Of Columbia,Maryland,3709,2020-01
District Of Columbia,Massachusetts,101041,2020-01
District Of Columbia,Michigan,42066,2020-01
District Of Columbia,Minnesota,29422,2020-01
District Of Columbia,Mississippi,4853,2020-01
District Of Columbia,Missouri,51937,2020-01
District Of Columbia,Montana,5506,2020-01
District Of Columbia,Nebraska,10566,2020-01
District Of Columbia,Nevada,41947,2020-01
District Of Columbia,New Hampshire,6852,2020-01
District Of Columbia,New Jersey,3533,2020-01
District Of Columbia,New Mexico,9200,2020-01
District Of Columbia,New York,102541,2020-01
District Of Columbia,North Carolina,63294,2020-01
District Of Columbia,North Dakota,2814,2020-01
District Of Columbia,Ohio,59134,2020-01
District Of Columbia,Oklahoma,12912,2020-01
District Of Columbia,Oregon,16825,2020-01
District Of Columbia,Pennsylvania,20286,2020-01
District Of Columbia,Rhode Island,18142,2020-01
District Of Columbia,South Carolina,34675,2020-01
District Of Columbia,South Dakota,2642,2020-01
District Of Columbia,Tennessee,42068,2020-01
District Of Columbia,Texas,172437,2020-01
District Of Columbia,Utah,22039,2020-01
District Of Columbia,Vermont,6869,2020-01
District Of Columbia,Virginia,11420,2020-01
District Of Columbia,Washington,45584,2020-01
District Of Columbia,West Virginia,5374,2020-01
District Of Columbia,Wisconsin,19699,2020-01
District Of Columbia,Wyoming,2280,2020-01
Florida,Alabama,55971,2020-01
Florida,Alaska,6827,2020-01
Florida,Arizona,131927,2020-01
Florida,Arkansas,34733,2020-01
Florida,California,596781,2020-01
Florida,Colorado,317447,2020-01
Florida,Connecticut,175429,2020-01
Florida,District Of Columbia,362698,2020-01
Florida,Florida,440881,2020-01
Florida,Georgia,463825,2020-01
Florida,Hawaii,24562,2020-01
Florida,Idaho,12438,2020-01
Florida,Illinois,713759,2020-01
Florida,Indiana,237154,2020-01
Florida,Iowa,59128,2020-01
Florida,Kansas,15600,2020-01
