source,destination,flow
Idaho,Oregon,574643
Idaho,Pennsylvania,100673
Idaho,Rhode Island,4145
Idaho,South Carolina,29109
Idaho,South Dakota,30619
Idaho,Tennessee,101640
Idaho,Texas,459266
Idaho,Utah,379566
Idaho,Vermont,3705
Idaho,Virginia,38249
Idaho,Washington,1246588
Idaho,West Virginia,2238
Idaho,Wisconsin,61415
Idaho,Wyoming,28680
Illinois,Alabama,416322
Illinois,Alaska,216419
Illinois,Arizona,3832133
Illinois,Arkansas,361715
Illinois,California,10923181
Illinois,Colorado,3859273
Illinois,Connecticut,542672
Illinois,District of Columbia,2313247
Illinois,Florida,15922965
Illinois,Georgia,3346893
Illinois,Hawaii,572519
Illinois,Idaho,163016
Illinois,Illinois,644683
Illinois,Indiana,513111
Illinois,Iowa,523271
Illinois,Kansas,185639
Illinois,Kentucky,629814
Illinois,Louisiana,1108166
Illinois,Maine,170193
Illinois,Maryland,1399154
Illinois,Massachusetts,2395903
Illinois,Michigan,2149651
Illinois,Minnesota,2433720
Illinois,Mississippi,111875
Illinois,Missouri,2548456
Illinois,Montana,252533
Illinois,Nebraska,656412
Illinois,Nevada,3887998
Illinois,New Hampshire,213666
Illinois,New Jersey,17917
Illinois,New Mexico,319774
Illinois,New York,8162263
Illinois,North Carolina,2428514
Illinois,North Dakota,147223
Illinois,Ohio,2706314
Illinois,Oklahoma,421157
Illinois,Oregon,854348
Illinois,Pennsylvania,3051398
Illinois,Rhode Island,374867
Illinois,South Carolina,964173
Illinois,South Dakota,171175
Illinois,Tennessee,1895582
Illinois,Texas,8086365
Illinois,Utah,842306
Illinois,Vermont,100297
Illinois,Virginia,873408
Illinois,Washington,1953209
Illinois,West Virginia,105557
Illinois,Wisconsin,552732
Illinois,Wyoming,124368
Indiana,Alabama,89031
Indiana,Alaska,35775
Indiana,Arizona,777315
Indiana,Arkansas,80212
Indiana,California,1610261
Indiana,Colorado,834518
Indiana,Connecticut,94693
Indiana,District of Columbia,482032
Indiana,Florida,5508177
Indiana,Georgia,849523
Indiana,Hawaii,124025
Indiana,Idaho,50488
Indiana,Illinois,489589
Indiana,Indiana,20344
Indiana,Iowa,67913
Indiana,Kansas,36416
Indiana,Kentucky,13863
Indiana,Louisiana,202058
Indiana,Maine,61428
Indiana,Maryland,338945
Indiana,Massachusetts,344843
Indiana,Michigan,378843
Indiana,Minnesota,379294
Indiana,Mississippi,49096
Indiana,Missouri,332756
Indiana,Montana,72671
Indiana,Nebraska,68208
Indiana,Nevada,993865
Indiana,New Hampshire,37527
Indiana,New Jersey,375
Indiana,New Mexico,68017
Indiana,New York,1079646
Indiana,North Carolina,576131
Indiana,North Dakota,33879
Indiana,Ohio,88880
Indiana,Oklahoma,106471
Indiana,Oregon,179304
Indiana,Pennsylvania,469822
Indiana,Rhode Island,58940
Indiana,South Carolina,302222
Indiana,South Dakota,41887
Indiana,Tennessee,188865
Indiana,Texas,1478243
Indiana,Utah,162723
Indiana,Vermont,19421
Indiana,Virginia,217130
Indiana,Washington,377324
Indiana,West Virginia,10429
Indiana,Wisconsin,143573
Indiana,Wyoming,23635
Iowa,Alabama,39938
Iowa,Alaska,17529
Iowa,Arizona,596746
Iowa,Arkansas,31723
Iowa,California,676736
Iowa,Colorado,511856
Iowa,Connecticut,42747
Iowa,District of Columbia,207756
Iowa,Florida,1245747
Iowa,Georgia,200916
Iowa,Hawaii,65528
Iowa,Idaho,31565
Iowa,Illinois,510580
Iowa,Indiana,68436
Iowa,Iowa,29501
Iowa,Kansas,24865
Iowa,Kentucky,46044
Iowa,Louisiana,67021
Iowa,Maine,18714
Iowa,Maryland,58546
Iowa,Massachusetts,90833
Iowa,Michigan,164142
Iowa,Minnesota,255959
Iowa,Mississippi,19748
Iowa,Missouri,263519
Iowa,Montana,47710
Iowa,Nebraska,8760
Iowa,Nevada,367898
Iowa,New Hampshire,9077
Iowa,New Jersey,22
Iowa,New Mexico,26770
Iowa,New York,305903
Iowa,North Carolina,229636
Iowa,North Dakota,29819
Iowa,Ohio,170298
Iowa,Oklahoma,49085
Iowa,Oregon,105331
Iowa,Pennsylvania,186738
Iowa,Rhode Island,16239
Iowa,South Carolina,77395
Iowa,South Dakota,18149
